Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
DD5612004J,2,-1,6,1,-1,4,1,0,,7CFED1D1-E8D3-4349-AF43-6D2382E476B4,2,1,,12,11,2,10,13,5,0,5.0,0,2018.0,19,31,39.07221861,-77.13316566,15:41:00,Sunday,2023-10-29
MCP32700028,1,-1,9,0,0,1,5,6,,DBFA9F34-A5E2-4AED-BA31-9295699E1048,2,1,,4,11,5,12,13,16,0,35.0,0,2015.0,27,104,39.0157195,-77.04232633,22:30:00,Monday,2023-11-06
DD5651003Q,1,-1,16,0,0,4,5,6,,F606FF87-9423-4495-A7EA-58A5CE67E02B,0,3,,7,11,1,3,13,5,1,35.0,0,2022.0,14,360,39.10341886,-77.15607765,08:07:00,Tuesday,2023-09-05
EJ786600D9,2,-1,4,1,0,5,4,6,,32025D90-911C-42A6-A5B9-45C228AC14CA,2,1,,5,21,2,12,13,8,2,25.0,0,2016.0,45,286,39.12547085,-77.24319878,16:30:00,Thursday,2023-12-21
MCP3279002S,1,-1,9,4,4,1,5,6,,A461CFE2-95EC-4D80-9B87-68DFD6926DA5,0,3,"N/A, WET",7,11,1,9,13,19,0,40.0,0,2020.0,41,400,39.06645923,-77.03057146,19:35:00,Monday,2023-10-30
MCP2703002Y,2,-1,9,0,0,4,-1,7,,D6015B49-BF1D-4770-B080-EFEFC526B037,2,1,,12,-1,6,12,13,8,1,25.0,0,2005.0,45,57,39.00200633,-77.004768,18:30:00,Friday,2023-08-04
EJ7885001H,2,-1,7,0,-1,1,-1,7,,BEBC96CF-F8E3-4B25-9E15-CD336A7849A8,2,1,,12,-1,6,9,-1,1,4,10.0,0,0.0,137,428,39.15683835,-77.21572408,11:32:00,Thursday,2021-09-23
EJ78760062,2,-1,9,0,0,4,5,6,,1FF1E285-13FD-4D93-A287-A6F3EBAB34B7,0,1,,7,5,5,9,13,19,2,40.0,0,2018.0,51,317,39.11556138,-77.21612327,18:45:00,Wednesday,2023-08-16
MCP33680017,2,-1,4,0,0,4,5,6,,368ACB74-945A-485E-B2B0-7E13DB20DAE4,0,1,,7,11,1,12,13,8,1,45.0,0,2011.0,13,176,39.11524084,-77.21569404,13:58:00,Friday,2023-07-21
MCP3372001S,2,-1,4,0,0,4,5,6,,6EB3B1EB-5335-4DF5-8B30-C32DB9A0FC39,2,1,,5,11,1,3,13,5,2,35.0,0,2022.0,131,83,39.09327345,-77.07965479,15:59:00,Wednesday,2023-11-08
MCP2187001M,2,-1,11,4,4,4,5,6,,E79C2F15-B414-483E-BDDC-C2FAF3526EF1,2,1,"N/A, WET",7,11,3,12,13,17,4,30.0,0,2022.0,60,430,39.10490167,-77.19642833,14:15:00,Tuesday,2023-09-26
MCP3030005L,1,3,7,0,0,4,1,-1,,51839FF7-795E-46B9-8F95-BE5038F70CD5,0,1,,7,30,5,12,13,8,2,35.0,0,2013.0,133,307,38.993665,-77.108615,17:00:00,Friday,2023-09-22
EJ7858007Y,1,1,7,0,0,4,4,6,NONE DETECTED,37A80704-5D1D-4497-8469-B0E8C3CD9D71,0,1,,5,11,2,6,13,6,4,30.0,0,2007.0,44,31,39.14368238,-77.20112613,12:10:00,Saturday,2023-07-22
MCP3037005G,2,-1,4,0,0,4,1,6,,C740484E-3EBA-4554-B457-41ECFB3746FB,0,1,,7,11,1,12,0,8,0,30.0,0,2008.0,68,346,39.27741667,-77.32460667,15:26:00,Tuesday,2023-11-07
MCP3207003J,2,-1,16,0,0,4,-1,6,,452E423A-598D-4367-9E49-1DBDC6EC8F27,0,1,,7,11,0,12,13,8,0,35.0,0,2005.0,133,31,39.070686,-76.93774567,15:52:00,Wednesday,2023-09-06
MCP291700CX,1,-1,14,0,0,4,1,6,,9D526132-CA27-4566-9813-8112A90BCBC2,0,1,,7,11,2,9,13,19,2,35.0,0,2016.0,131,115,39.03919533,-77.05413233,13:15:00,Friday,2023-12-15
MCP2830004M,2,-1,7,-1,-1,1,1,7,,D46AB80A-BF4F-423A-9F27-E5D29B4337B9,2,1,,12,-1,6,15,-1,12,3,0.0,0,0.0,137,428,39.154075,-77.19714833,20:58:00,Friday,2019-05-24
EJ786600CN,2,-1,16,1,0,4,1,6,,A83DA54E-4E5C-4D94-80E5-DD30EB6DA308,0,1,,7,11,1,12,13,8,4,35.0,0,2002.0,44,57,39.14877898,-77.21343947,10:34:00,Saturday,2023-09-30
MCP2991008M,2,-1,-1,-1,0,4,1,6,,E05DBE20-BA62-451A-A18A-8709AE013448,2,1,,7,11,2,11,13,2,4,30.0,0,2014.0,45,57,39.07592,-77.00013167,07:30:00,Thursday,2023-09-21
MCP3334001N,2,-1,6,0,0,4,4,6,,D45F5A92-C393-4C39-9903-A91D2F9D0AEA,0,1,,7,11,3,6,21,19,2,0.0,0,2013.0,37,426,38.99397068,-77.03094617,17:38:00,Tuesday,2023-10-03
MCP2906002Y,2,-1,16,1,4,4,5,6,,2EB1C00B-F9B9-4054-9EDC-3911C71BF465,2,1,"N/A, WET",12,30,1,10,13,16,0,45.0,0,2013.0,45,57,39.10493167,-77.20125333,17:20:00,Friday,2021-04-09
MCP26670088,1,-1,9,0,0,4,-1,6,,BE4CA564-A23A-473A-9939-CDE0ADF5B630,0,1,,7,11,2,9,13,19,4,35.0,0,2017.0,83,363,39.15653183,-77.15672883,11:00:00,Thursday,2022-11-17
MCP3268003L,1,-1,3,4,4,3,-1,6,,89CD62DF-DAF0-4345-9E49-75A699B7478F,0,1,"N/A, WET",7,11,1,4,0,8,0,35.0,0,2017.0,45,304,39.06530783,-76.97868583,07:54:00,Monday,2023-12-18
MCP3220004H,2,-1,16,0,0,4,5,6,,A33DFEB1-B9F0-4CED-8E88-B50A6F36C4A8,1,1,,12,11,2,12,13,8,0,40.0,0,2011.0,133,402,39.1095325,-77.188257,15:59:00,Wednesday,2023-12-13
MCP29750045,2,-1,15,0,-1,4,1,-1,,888F358F-5700-4295-A993-C33DD5629AD7,2,1,"N/A, PHYSICAL OBSTRUCTION(S)",7,11,5,12,15,8,2,10.0,0,2023.0,17,394,39.04947988,-77.12685836,19:00:00,Thursday,2023-08-31
MCP2641003B,2,-1,9,4,4,4,5,6,,54521B36-2D17-4BDA-8097-ABB13251949D,0,1,"RAIN, SNOW, WET",7,11,2,9,13,19,2,45.0,0,2011.0,133,228,39.20224333,-77.25329167,10:25:00,Sunday,2023-09-17
DM85220015,2,-1,7,4,4,1,5,-1,,1262B966-EA36-4467-8150-576521853963,2,1,,12,-1,6,9,13,1,0,30.0,0,2018.0,63,391,38.98948865,-76.98845029,20:50:00,Wednesday,2023-12-27
MCP2948006C,1,-1,4,4,4,0,5,-1,,7DDA3049-BDCF-4B7A-9B02-4FD4B6B895AC,2,1,"RAIN, SNOW, WET",12,11,1,6,13,5,4,35.0,0,2021.0,131,228,39.05699167,-77.07359167,21:50:00,Thursday,2023-08-03
MCP3360000X,2,-1,15,0,0,4,1,6,,E6EC5FE6-730A-489C-BFD6-E23CAECD32E4,2,1,,4,11,1,12,13,8,2,55.0,0,2020.0,62,198,39.09813833,-77.17851667,10:04:00,Tuesday,2023-09-05
DD5653002Q,2,-1,9,1,0,4,5,-1,,B3CD2B0F-4ADA-4371-A540-EB1A0D2A1524,0,1,,7,11,5,9,13,19,4,0.0,0,2019.0,96,439,39.07454209,-77.13560798,15:30:00,Saturday,2023-09-30
MCP12100038,2,-1,7,-1,-1,4,-1,6,,D103AE70-B53F-4919-BBFA-301C63E78981,0,1,,7,30,5,9,13,11,-1,0.0,1,2011.0,131,329,39.113285,-77.18729833,17:55:00,Saturday,2019-03-16
MCP2286005C,2,-1,14,0,0,4,1,6,,F4C8B886-C3A1-4E5E-9647-F747B22D16E0,0,1,,7,11,2,8,13,19,0,25.0,0,2013.0,44,31,39.12163383,-77.176867,16:15:00,Tuesday,2023-09-12
MCP25830039,2,-1,15,0,0,4,-1,6,,86A7D2A1-1F83-4195-A1F9-CFE98EA3E158,2,1,,12,11,1,12,0,9,4,30.0,0,2017.0,70,270,39.10263292,-77.33326783,19:56:00,Monday,2023-07-10
MCP289200FQ,1,3,3,0,-1,1,1,1,NONE DETECTED,81CD6BDE-884B-4347-9698-FEC20531B192,2,1,,9,11,5,12,13,17,3,15.0,0,2022.0,45,31,38.99686779,-77.02382004,17:24:00,Friday,2023-12-15
MCP25920034,2,-1,14,4,4,4,-1,6,,B36020A1-63D5-4215-817A-6B73AAB3A68F,0,1,"RAIN, SNOW, WET",7,11,2,11,13,8,2,30.0,0,2012.0,133,402,39.15242049,-77.14236651,07:17:00,Monday,2023-09-11
MCP2552006H,1,-1,7,0,0,1,-1,-1,,40806B05-6D01-4952-9427-C158B3BDCEC1,2,3,,7,11,1,12,13,8,1,35.0,0,2016.0,96,364,39.05753833,-77.12624667,21:10:00,Saturday,2023-09-30
MCP1022008M,2,-1,9,0,0,4,1,6,,E98ABB75-8888-47C3-8AA7-613D27C0CD0A,0,1,,7,11,5,9,24,16,1,65.0,0,2017.0,96,282,39.25657333,-77.30499,11:08:00,Friday,2018-04-20
MCP3339002Z,1,-1,9,4,4,4,5,6,,B3EFA037-0ED5-430D-BDA9-89823BD5C621,0,1,,7,11,2,9,13,17,4,35.0,0,2017.0,50,31,39.09983325,-77.09854609,08:37:00,Friday,2023-11-10
MCP3208004N,2,-1,9,0,0,1,5,6,,22601BE4-D0BE-474D-AC1A-8768F8367BF6,0,1,,7,11,2,9,0,19,1,45.0,0,2020.0,133,329,39.03972642,-76.99049971,03:12:00,Saturday,2023-08-12
MCP25390010,1,-1,9,0,0,1,1,6,,449AEB60-968D-4E55-AE20-9DB8134553B2,0,3,,7,30,2,9,13,8,2,35.0,0,2012.0,27,196,38.97883617,-77.09910035,23:09:00,Friday,2018-08-10
MCP3209004B,2,-1,14,0,0,1,1,7,,FFBB0485-B3A1-48B6-BF8B-B5E162BBFD4A,2,1,,12,-1,1,6,13,20,4,35.0,0,2014.0,50,162,39.08830352,-76.93074121,04:01:00,Wednesday,2023-10-25
EJ78580080,2,-1,7,0,0,4,1,6,,989330E1-D297-43AB-B62F-458550676FE4,0,1,,7,11,3,12,13,11,-1,25.0,1,2016.0,24,440,39.12859613,-77.19342522,09:08:00,Tuesday,2023-09-12
MCP2907002X,2,-1,14,0,0,2,1,0,,8662EE70-45D1-4C2F-AA98-7A38D7742C08,2,1,,7,11,2,6,13,8,2,25.0,0,2004.0,45,57,39.00005583,-77.04639967,03:06:00,Saturday,2023-12-30
MCP3294001N,1,-1,4,0,0,4,5,6,,2BF0AD87-6A53-4CE7-9762-D429EB8E8F0B,0,2,,7,11,1,12,15,8,1,35.0,0,2022.0,0,360,39.16976667,-77.19047833,17:00:00,Saturday,2023-08-26
MCP3312003T,2,-1,3,-1,0,4,1,7,,90AA4C3E-6AEA-4FAE-A3F6-168CAA864C04,2,1,,12,-1,1,12,13,8,2,25.0,0,2019.0,50,162,39.04585833,-76.99088667,13:00:00,Saturday,2023-07-29
DD5660000J,2,-1,15,4,4,5,1,-1,,BD04FD0B-16F0-41DD-B7FB-059B006E2467,2,1,"RAIN, SNOW, WET",7,11,1,12,13,8,1,35.0,0,2018.0,44,225,39.07253892,-77.16620369,18:07:00,Saturday,2023-10-14
MCP3060004F,1,-1,16,4,4,4,5,6,,A05D8C1E-D43C-480F-9DFF-2E24CB8A72D8,0,3,"RAIN, SNOW, WET",7,11,1,13,13,8,0,35.0,0,2003.0,45,130,39.04123333,-77.051595,07:29:00,Saturday,2023-09-23
MCP2641003F,2,-1,9,0,0,4,1,6,,73654B55-A294-4DFC-9CDB-D180746715C5,0,1,,7,11,2,9,13,16,4,40.0,0,2020.0,62,374,39.18860667,-77.11981833,08:00:00,Monday,2023-10-16
DD56030029,2,-1,9,0,0,4,5,6,,66E1B958-5A7B-4039-A3D8-5CDE9C0D064A,0,1,,7,11,2,9,13,16,2,40.0,0,2013.0,14,31,39.06961281,-77.13085771,08:47:00,Monday,2016-01-04
MCP3200008X,2,-1,9,1,0,4,1,6,,325E6BDB-211F-4E66-8D45-647376E74B6F,0,1,,7,11,2,9,0,19,4,35.0,0,2021.0,45,122,38.99709617,-77.16939183,12:46:00,Thursday,2023-08-10
MCP2121002T,2,-1,9,4,4,3,3,6,,B85DC7E5-2C54-4BB8-9386-FD1F6CFB0987,2,1,"RAIN, SNOW, WET",7,11,0,12,0,16,0,25.0,0,2018.0,83,430,39.14256567,-77.40774817,08:21:00,Tuesday,2023-09-26
MCP33390039,2,-1,6,-1,0,1,1,7,,F055D0BB-A1A0-4D19-B5AD-7C073447A8BC,2,1,,12,-1,0,12,13,8,0,25.0,0,2008.0,1,403,39.08673583,-77.0817105,20:46:00,Sunday,2023-12-24
MCP30080040,2,-1,9,0,0,1,5,6,,8A50EF1D-D85F-4730-A989-329BC2AF26AA,0,1,,7,30,5,9,0,19,2,35.0,0,2015.0,69,342,39.02095382,-77.01232233,02:04:00,Sunday,2023-10-22
MCP3279002W,2,-1,16,-1,0,4,5,-1,,62C7DF29-69E4-487C-95C2-CFC12EB45523,2,1,,7,11,5,3,13,2,0,40.0,0,2016.0,27,185,39.06048814,-77.04483823,14:50:00,Wednesday,2023-11-08
EJ78890048,2,-1,16,4,4,0,5,6,,6D5D0434-B127-4802-8830-9EAC9E33F1FB,0,1,"RAIN, SNOW, WET",7,11,1,12,13,8,1,35.0,0,2007.0,133,31,39.15435542,-77.20932542,21:45:00,Saturday,2023-10-14
MCP32800049,1,-1,2,0,0,4,1,6,,21826669-416F-44BD-9036-40C162844F71,0,2,,7,11,1,6,13,8,2,40.0,0,2022.0,1,265,39.0566195,-76.9672425,09:30:00,Friday,2023-12-01
MCP3377000W,2,-1,9,4,4,1,1,-1,,F607D36D-6AA4-45F5-8913-1FDEBCB16F1F,0,1,"N/A, WET",7,18,2,9,13,16,0,35.0,0,2007.0,133,81,39.05079559,-77.12824749,16:35:00,Sunday,2023-12-17
DD56630004,2,-1,9,4,4,-1,1,6,,90CA930B-ABE9-4340-ACEC-9F465DC691B9,2,1,"N/A, WET",7,11,1,12,13,8,4,40.0,0,2003.0,133,115,39.10647332,-77.16880239,02:42:00,Sunday,2023-09-24
MCP2863002Z,2,-1,14,4,4,1,1,6,,7B9CADD3-B3AF-421F-84CB-373C7D9BCA4F,2,1,"N/A, WET",7,11,5,10,21,5,1,25.0,0,2017.0,10,74,39.13505617,-77.1749875,20:45:00,Saturday,2023-10-14
HA2451000D,2,-1,15,4,-1,4,-1,-1,,A81D2864-746A-4DC5-9D3A-2542FEE94BF9,1,1,,7,11,5,2,16,8,4,10.0,0,2020.0,27,180,38.99168385,-76.99849411,16:30:00,Monday,2023-05-29
MCP24550065,2,-1,9,4,4,4,5,6,,39731429-0309-4C22-B7A6-B2A7A1982DF0,2,1,"RAIN, SNOW, WET",12,11,1,12,13,8,4,35.0,0,2018.0,27,225,39.0539585,-77.09420317,17:07:00,Saturday,2023-09-23
