Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Non-Motorist Substance Abuse,Person ID,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP23510054,1,-1,9,0,0,4,5,6,,A0153670-5253-4807-917A-CE0A6DE39D39,0,2,,7,11,5,9,13,16,4,30.0,0,2006.0,45,440,39.06173464,-77.11574439,12:06:00,Friday,2023-11-03
MCP285900DD,2,-1,15,0,0,4,1,6,,548086F2-5177-44C9-B3F3-7097F344A3FD,2,1,,12,11,1,12,13,8,0,30.0,0,2022.0,27,278,39.1159395,-77.20444058,13:19:00,Tuesday,2023-07-25
MCP3190005L,1,-1,9,6,4,3,1,6,,18A5FC36-2FB6-46A7-A1EE-5E9AAA3B73C4,0,1,"RAIN, SNOW, WET",7,11,2,9,13,16,4,40.0,0,2003.0,17,181,39.12080783,-77.03858283,07:51:00,Monday,2023-12-11
MCP32250042,2,-1,9,4,4,4,5,7,,A7890C2A-04C1-41AC-A229-B2FF1EE30E67,2,1,,12,-1,6,12,13,20,0,35.0,0,2004.0,131,31,39.09300033,-77.07999733,16:45:00,Monday,2023-08-14
MCP32000091,1,-1,16,0,0,4,4,6,,15433CB5-3E1B-4867-819F-553CD838BB57,0,1,,7,11,2,12,12,8,0,20.0,0,2009.0,57,419,39.01504967,-77.0752745,09:06:00,Friday,2023-08-18
MCP2456007Q,2,-1,13,0,0,4,1,6,,02F3D3BD-C418-4B5F-8E43-81D5276D3D06,0,1,,7,6,5,10,21,8,1,40.0,0,2020.0,7,414,39.02439471,-76.97953166,06:45:00,Friday,2023-09-08
DD5567000X,2,-1,9,1,0,4,-1,6,,CA91953B-E9A6-4FAC-A0A0-0F5523F69D73,0,1,,7,11,2,9,13,16,2,35.0,0,2003.0,79,154,39.08136873,-77.14656839,13:19:00,Monday,2023-09-25
MCP3334001S,2,-1,14,0,0,4,5,6,,8DE37C41-13DC-44F6-BCB2-98E0B6388544,2,1,,12,6,2,8,21,2,1,25.0,0,2016.0,121,426,38.99671,-77.02531,15:15:00,Saturday,2023-10-21
MCP2674004K,2,-1,15,0,-1,0,1,6,,503DC7C9-5F2C-4BB2-812A-DDE026F7CEC7,2,1,,7,11,1,12,13,8,0,25.0,0,2010.0,60,445,39.27629867,-77.21182033,18:48:00,Monday,2023-11-27
MCP2946005Y,2,-1,15,0,0,4,1,6,,F684B822-8F97-4976-940B-79B3B998FB6D,2,1,"DEBRIS OR OBSTRUCTION, N/A",7,11,5,13,18,8,2,40.0,0,2022.0,127,358,39.22492767,-77.29247417,07:06:00,Monday,2023-10-02
EJ78520084,2,-1,16,-1,0,4,4,7,,B9F48CF4-FEFC-4F8E-8E99-54DF023218BA,2,1,,12,-1,5,6,13,5,0,25.0,0,2014.0,60,391,39.12943225,-77.20086051,12:29:00,Saturday,2023-07-29
MCP2516004K,2,-1,13,0,0,4,5,6,,0D980BE7-8472-4090-A141-C8FD1DE2FF54,0,1,,7,11,5,0,13,8,0,35.0,0,2016.0,131,359,39.17913918,-77.26769599,08:40:00,Monday,2023-11-20
MCP3158004P,1,-1,15,0,0,2,1,1,,B94EB41C-B194-434D-B210-462E91314FC5,2,2,,12,11,1,12,13,8,2,30.0,0,1998.0,24,140,39.17623167,-77.11849667,22:42:00,Wednesday,2023-12-20
MCP2162005J,2,-1,12,0,0,4,1,-1,,E14AF74E-A1FC-4824-8F54-B7A1FCA9EDD9,2,1,,12,11,5,0,13,2,1,35.0,0,2024.0,118,289,39.011161,-76.979146,15:45:00,Sunday,2023-10-29
MCP22700025,1,-1,9,0,0,4,1,6,,D347E290-6614-4DE1-845E-398BE8A0915A,2,1,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",4,11,1,12,13,8,0,40.0,0,2014.0,60,402,39.05438333,-77.14111167,08:00:00,Thursday,2023-08-31
EJ7781004D,2,-1,4,0,0,4,5,6,,3CF8FCEE-8DBE-462C-80F3-462C851F7A47,0,1,,7,11,1,12,13,0,4,40.0,0,2023.0,139,430,39.1174087,-77.25083387,09:08:00,Saturday,2023-08-26
MCP3280003S,1,-1,14,0,0,4,5,6,,B1A5771C-1C18-4E28-9E38-0AA901F5F5E0,2,1,,7,33,0,1,13,0,2,50.0,0,2021.0,50,436,39.073565,-76.95593833,06:30:00,Thursday,2023-08-17
DM8494003P,2,-1,16,0,0,1,5,-1,,92E3684C-961A-4E38-BBAD-BEEB3CE446C9,0,1,,7,11,1,12,13,8,4,25.0,0,2018.0,44,360,39.05575817,-77.14993583,19:40:00,Thursday,2023-12-28
MCP30510075,2,-1,9,0,0,1,5,6,,69725543-A04C-48B1-9A52-B7B16085E5D2,0,1,,7,11,5,9,13,19,4,35.0,0,2017.0,118,197,38.986075,-77.14303667,19:19:00,Monday,2023-11-06
MCP291700CN,1,-1,3,0,-1,4,1,6,,DD1220D0-A220-4E26-975B-A043F0DD7490,2,2,,7,11,1,12,13,0,0,35.0,0,2018.0,118,197,39.04955317,-77.01948167,14:19:00,Wednesday,2023-11-08
MCP32320042,1,-1,0,0,0,1,5,7,,79CA0B8F-4A32-424B-8A51-5D783A95C010,2,2,,12,-1,2,12,-1,20,0,35.0,0,0.0,137,428,39.0959286,-77.00188168,20:41:00,Sunday,2023-08-20
DD56240041,2,-1,16,4,4,1,4,6,,5D579348-9AA0-4FFD-9256-73892FE10ABC,0,1,"RAIN, SNOW, WET",7,11,2,12,13,8,1,25.0,0,2018.0,60,27,39.08865234,-77.1432778,20:00:00,Tuesday,2020-04-07
MCP9301004N,1,-1,16,-1,0,4,5,-1,,9B6B62ED-C882-49C6-9F6D-D3F4493212EC,0,2,,7,11,2,12,13,8,4,35.0,0,2015.0,95,58,39.19470608,-77.18478522,09:40:00,Friday,2023-09-08
MCP3095004P,2,-1,16,0,0,4,5,-1,,CB4D5103-AE33-4F2E-8D80-0F87E8536058,0,1,,7,30,5,12,5,8,0,40.0,0,2004.0,115,259,39.06248817,-76.96288567,15:07:00,Thursday,2023-10-19
MCP2905005V,2,-1,14,0,0,4,1,-1,,0B61749B-C321-4C8F-B85A-A0D992E0225D,2,1,,7,5,5,11,13,8,2,25.0,0,2022.0,108,308,38.96238333,-77.09184833,11:48:00,Wednesday,2023-09-06
MCP1205009S,2,-1,12,7,3,4,2,7,,C6E7948B-D3BE-41A6-A1AB-2F13661C6781,2,1,,12,-1,5,1,13,2,2,25.0,0,2021.0,131,391,38.98224678,-77.09319243,15:00:00,Thursday,2023-09-21
DD5612004N,2,-1,15,4,4,4,-1,6,,C4C01A98-A794-433A-B9E4-DE8F8030DC04,2,1,"N/A, WET",7,11,1,6,13,5,4,40.0,0,1993.0,133,440,39.09262674,-77.18325859,15:49:00,Tuesday,2023-11-21
MCP2683005K,1,-1,16,0,0,4,4,6,,25208F10-4C2E-4AF7-90D6-A51AD12BDD0F,2,1,,7,11,2,1,13,5,2,35.0,0,2021.0,96,338,39.15057667,-77.20408667,18:21:00,Friday,2021-06-25
DD5664000W,1,-1,7,1,4,4,-1,6,,BA2BC60A-C56B-4533-A19A-AB42BA96EFBD,0,2,"N/A, WET",7,6,5,12,21,19,2,35.0,0,2019.0,7,74,39.08155936,-77.14594738,07:33:00,Friday,2023-08-25
MCP3348001J,1,-1,16,0,0,4,-1,6,,B5BEF361-566D-4771-A804-F8E2B4E7B8B6,2,2,,5,11,1,6,0,5,2,20.0,0,2020.0,44,130,39.08255167,-77.04876333,08:23:00,Monday,2023-11-13
MCP241100C8,2,-1,4,0,0,4,5,6,,8EDC4F7E-AFE4-40DD-A348-D0A650856E54,0,1,,7,11,1,12,13,8,0,40.0,0,2007.0,131,83,39.09488167,-77.11237667,12:48:00,Wednesday,2023-10-11
MCP3353001V,1,-1,9,-1,0,1,5,6,,5E3C4A9B-B24F-4D84-9B4B-CB301A3F6147,0,2,,7,11,2,9,13,6,1,45.0,0,2020.0,96,339,39.09308982,-77.07910251,18:45:00,Monday,2023-11-06
MCP3134004J,2,-1,16,0,0,-1,1,-1,,4111D8CB-4EC8-4F68-94F3-E20A4F147508,2,1,,5,11,2,12,13,0,2,45.0,0,2003.0,131,402,39.11079137,-76.93342331,18:22:00,Wednesday,2023-08-23
MCP22030079,1,-1,16,0,0,4,5,6,,C34B20EF-5CF0-424D-9556-052D4FD754BB,2,2,,7,11,1,6,13,5,0,35.0,0,2000.0,44,130,39.04609633,-77.03231683,14:25:00,Monday,2023-09-11
MCP32350027,2,-1,14,0,0,1,1,6,,1590BB9A-1EB3-4A8B-837D-8CEF7B50661D,0,1,,7,6,5,9,13,1,1,25.0,0,2015.0,141,240,39.0885456,-76.9397154,01:15:00,Monday,2023-10-23
MCP3208004W,2,-1,9,0,0,1,5,6,,F9A043EE-2601-4D11-8368-673506687480,0,1,,7,6,2,9,13,19,1,35.0,0,2018.0,45,360,39.0043195,-77.023588,22:44:00,Saturday,2023-11-11
MCP28430025,1,0,16,0,0,4,-1,6,NONE DETECTED,1164605F-D332-4E8C-BAE6-8EE1BA68F100,2,1,,5,11,5,12,13,7,2,45.0,0,2023.0,131,393,39.16155167,-77.15925167,18:35:00,Tuesday,2023-09-05
MCP01130016,2,-1,7,0,0,4,1,6,,5E26D10C-34F6-4637-B7C5-9483DD9D4695,2,1,,7,11,5,13,13,8,2,25.0,0,2017.0,131,307,39.02660833,-77.07861,12:01:00,Thursday,2017-02-23
MCP3230004Z,2,-1,16,0,0,1,5,6,,F60B52C4-E0A6-4A10-98AF-AF5E3861114D,2,1,,7,33,1,12,13,8,2,35.0,0,2003.0,45,57,39.07629417,-77.08072467,21:15:00,Tuesday,2023-11-14
MCP136600CG,1,-1,4,0,0,4,4,6,,ECC0F7D7-3930-4698-A6C5-56CDFE0B0EF0,2,1,,5,11,2,13,13,5,0,35.0,0,2015.0,27,225,39.06679,-77.059595,07:56:00,Thursday,2023-10-12
MCP2347004L,1,-1,4,0,0,3,5,6,,8A5A5731-C75B-44FA-BC9B-7B9EA7273F13,0,1,,7,11,1,10,13,8,1,55.0,0,2022.0,27,72,39.10410467,-76.93306567,07:02:00,Saturday,2023-12-16
DD5607004P,2,-1,15,0,0,1,1,6,,8A3A9758-40C4-4F43-9522-4D4CE1DC2921,2,1,,12,11,1,12,13,5,0,35.0,0,2009.0,52,110,39.08716414,-77.13520846,05:15:00,Thursday,2023-11-23
MCP2286005F,1,-1,4,0,0,4,5,7,,00159848-8296-4C0E-839A-BAAD5B62B120,1,4,,12,11,2,12,9,8,0,40.0,0,2023.0,138,432,39.10635686,-77.15228824,18:30:00,Wednesday,2023-09-13
MCP27230081,2,-1,3,-1,0,1,1,6,,F313DE5F-AE80-41E0-ADBE-255719F03617,2,1,,1,11,1,12,13,8,0,30.0,0,2020.0,41,400,39.06270333,-77.08581,19:15:00,Sunday,2023-11-05
MCP29460068,2,-1,6,0,0,4,-1,6,,85F416A6-5BF0-4149-A2C6-242852ABF142,2,1,"N/A, V EXHAUST SYSTEM|R OTHER ROAD",7,11,5,10,4,17,4,25.0,0,2014.0,55,402,39.23384117,-77.2528525,13:01:00,Tuesday,2023-12-05
MCP2686006R,2,-1,13,0,0,4,1,6,,B55D8D3A-68E5-494D-8CD4-39472642D486,2,1,,5,11,2,13,0,6,1,25.0,0,2021.0,66,430,39.18339333,-77.26257567,15:36:00,Thursday,2023-11-30
MCP31450046,2,-1,9,0,0,4,5,6,,01C04A39-C73A-4321-8CB0-9B86F67DD262,0,1,,7,11,2,9,13,16,0,35.0,0,2023.0,50,238,39.01911,-77.01071,15:30:00,Friday,2023-10-13
MCP3372001J,2,-1,15,0,-1,1,1,7,,CF628B4B-94DA-4E65-9A01-2F72639EB417,2,1,,12,-1,6,12,13,0,0,25.0,0,2023.0,62,381,39.10102652,-77.07534719,19:39:00,Friday,2023-10-06
MCP3233004G,2,-1,8,0,0,1,-1,6,,AD5A996C-73BF-4631-AECE-F99D24C017D3,0,1,,7,11,5,6,13,8,0,40.0,0,2003.0,19,419,39.00595913,-76.99723239,20:16:00,Monday,2023-12-25
DD5643003B,1,-1,4,-1,0,1,5,6,,2BEBF9D5-A6D2-4798-B20A-5F7573D395A3,2,1,,7,11,0,12,13,5,1,35.0,0,2019.0,131,327,39.11554459,-77.16610267,18:09:00,Tuesday,2023-12-19
MCP2821002Y,2,-1,2,0,4,1,4,6,,0F259490-0306-4132-B3D1-6EDAC2EF0499,0,1,"N/A, WET",7,11,1,12,13,8,2,40.0,0,2015.0,20,360,39.16936833,-77.17624333,23:57:00,Friday,2023-07-28
MCP2380000F,2,-1,7,0,-1,4,-1,7,,5EC7E663-4BC9-4B77-AD0F-11CCC2020298,2,1,,12,-1,6,9,13,1,3,10.0,0,2016.0,131,427,38.97860534,-77.09893724,11:40:00,Sunday,2023-11-26
MCP20390098,1,-1,9,4,4,1,1,1,,EE857DD6-3151-46EA-A6B9-B9BEDB412158,2,2,"RAIN, SNOW, WET",2,11,1,12,13,8,4,35.0,0,2020.0,45,96,39.06016937,-77.08944142,22:21:00,Friday,2023-10-20
MCP33410026,2,-1,14,0,0,4,5,-1,,0FC50DFC-6FBE-4BF6-99F4-ED50C73E77A5,1,1,,12,0,5,6,13,17,1,35.0,0,2015.0,45,96,38.99212898,-77.03613705,17:45:00,Friday,2023-08-11
MCP3280004C,2,-1,7,7,0,1,5,7,,BD2D6F0D-6195-43BC-96D2-A55345A71588,1,1,,12,-1,6,15,23,6,0,40.0,0,0.0,137,428,39.05252161,-76.95313025,17:50:00,Friday,2023-11-24
EJ7871004Y,2,-1,7,0,-1,1,1,-1,,BF236038-D483-4A6C-9ECB-4FB9563A7698,0,1,,7,11,-1,9,13,11,-1,0.0,1,2015.0,50,7,39.14003762,-77.1955777,00:41:00,Sunday,2021-07-04
MCP3325002J,1,-1,16,0,0,3,5,6,,047D7755-1C45-447A-B889-BC2D7330DAC4,1,2,,7,11,1,12,13,8,4,40.0,0,2017.0,152,83,39.0716805,-77.01117283,15:54:00,Saturday,2023-11-25
MCP3080003X,2,-1,12,0,0,1,-1,7,,053B461C-9FF3-4554-A4D2-DC7DBA76C059,2,1,,12,-1,6,15,13,8,2,45.0,0,2011.0,45,31,39.19351713,-77.26990683,21:03:00,Friday,2023-10-27
MCP30800048,2,-1,12,0,0,1,1,6,,BD8498CB-42C6-49AC-818F-735B99A85490,2,1,,5,11,2,12,13,8,1,35.0,0,2012.0,96,28,39.14779366,-77.27044678,17:52:00,Saturday,2023-12-23
MCP3160004W,2,-1,6,0,0,1,0,6,,AA56A864-E6F8-4A48-AC31-9045E5789CDA,2,1,,5,11,1,1,13,8,4,30.0,0,2007.0,50,354,39.04500333,-77.11670533,20:15:00,Tuesday,2023-10-24
MCP2228001H,2,-1,15,1,4,4,-1,6,,3FBAFA88-984B-4951-9047-B1AD7FC6CC51,2,1,"N/A, WET",7,6,2,3,13,8,1,45.0,0,2008.0,118,289,39.15446167,-77.14196833,13:30:00,Sunday,2023-09-24
MCP33280026,2,-1,9,0,0,4,5,6,,84DAC10A-D835-4DF8-A4BE-103465127E30,0,1,,7,11,5,9,13,19,2,35.0,0,2006.0,27,160,39.04725878,-77.05209844,18:41:00,Saturday,2023-07-08
MCP2270002G,2,-1,9,0,0,4,1,6,,9223FCC1-0F5E-4409-9413-6519613BB470,0,1,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",7,14,2,9,13,16,2,35.0,0,2005.0,27,311,39.04842,-77.09661833,08:00:00,Monday,2023-11-13
MCP3066002D,2,-1,6,0,0,4,-1,0,,CCFE6163-E4DC-4203-ABAC-00E8831BD265,2,1,,9,11,5,1,13,8,0,25.0,0,2023.0,14,394,39.02612667,-77.06054333,16:16:00,Saturday,2023-10-28
MCP2450004W,2,-1,12,-1,0,4,1,6,,373D676F-012F-45E4-A894-BBEF7015F699,0,1,,7,11,2,12,13,8,0,40.0,0,2012.0,74,139,39.09817833,-77.20877,16:00:00,Wednesday,2023-11-22
MCP33340025,2,-1,14,0,0,1,1,6,,651ABE89-B963-4079-AC72-F6B965B2402F,2,1,,12,11,2,13,0,2,1,35.0,0,2018.0,87,291,39.00675167,-77.03918383,16:41:00,Thursday,2023-12-21
MCP3168005X,2,-1,9,0,4,4,5,6,,05DBDDD2-5E88-4C34-BFCA-8171EB3277B9,0,1,"N/A, WET",7,11,2,9,13,19,0,35.0,0,2017.0,27,202,39.05321728,-77.13612423,17:49:00,Friday,2023-08-25
DD5643003C,2,-1,7,-1,0,1,5,6,,7FBAED92-E59B-4FF8-BF75-AA04AD96D16B,2,1,,5,11,2,1,13,14,1,25.0,0,2013.0,6,360,39.07732181,-77.13920643,17:02:00,Saturday,2023-12-23
MCP235800BQ,2,-1,15,0,4,4,1,6,,8FACC45D-4CE4-4D39-AC2A-205A209608A0,2,1,"N/A, WET",7,11,5,12,13,8,2,30.0,0,2002.0,69,174,38.94595417,-77.120782,07:46:00,Monday,2023-09-11
MCP28750081,2,-1,15,4,4,2,1,6,,B4DDA33C-441C-44E6-9763-BC863FCFDB8C,2,1,"SLEET, HAIL, FREEZ. RAIN, WET",7,11,1,1,13,9,1,55.0,0,2022.0,118,236,39.23092833,-77.28293167,20:52:00,Sunday,2023-12-17
MCP2620002P,1,-1,3,0,0,4,1,6,,8176E068-90AB-4CB8-986F-1DBD4D6ECAE4,2,2,,7,11,2,12,0,8,1,35.0,0,2013.0,144,452,38.98282267,-77.098503,16:05:00,Wednesday,2023-11-22
MCP9390002N,1,-1,9,0,0,4,1,-1,,D3F39AF4-193D-41DD-B0BD-2E88F6C7F716,0,3,,7,11,1,9,13,19,4,45.0,0,2023.0,123,464,39.11062167,-77.21153,16:24:00,Monday,2023-12-04
MCP271700Y8,2,-1,7,0,0,4,5,6,,30E30C7E-2AFC-4EFC-9B0B-BB6766AAEF94,0,1,,7,11,1,12,0,8,2,40.0,0,2019.0,96,339,38.99700833,-77.03159,14:50:00,Friday,2023-11-17
MCP2298014K,2,-1,9,1,0,4,1,6,,DA2D302F-75E9-4BA1-B19B-22782FF135E8,0,1,,7,11,2,9,15,19,2,40.0,0,2024.0,117,430,39.23695,-77.23629667,08:09:00,Friday,2023-10-20
MCP291700CW,2,-1,9,6,4,4,5,6,,122ED895-257F-4031-8076-246EF3A5FFB5,0,1,"RAIN, SNOW, WET",7,15,2,9,13,16,1,40.0,0,2019.0,27,202,39.04523633,-77.06520533,08:50:00,Monday,2023-12-11
DD5660000G,1,-1,10,-1,0,1,5,6,,3C1FCECD-0E18-4644-82A1-747BB46941EE,2,1,,12,11,5,12,13,8,0,35.0,0,2011.0,50,372,39.08575193,-77.1706933,19:16:00,Saturday,2023-09-30
MCP28350033,2,-1,9,0,4,1,5,6,,45CDD3C1-2D61-4A3D-9441-985AFC9E02A8,0,1,"N/A, WET",7,11,2,9,0,19,0,25.0,0,2018.0,96,62,38.99497014,-77.04580333,23:10:00,Friday,2023-09-08
MCP30800045,2,-1,16,0,0,4,-1,-1,,FDEDCCAF-BE73-4D4D-A6B0-6C5AAD05730F,2,1,,5,11,1,12,13,0,2,35.0,0,2020.0,66,402,39.15749925,-77.29150364,15:23:00,Thursday,2023-12-14
MCP91180044,2,-1,14,0,0,1,0,6,,E428AAA2-653F-4A4F-B6BD-2720F923BB51,0,1,,12,11,1,12,13,8,4,35.0,0,2018.0,45,96,39.04539817,-77.06555233,01:19:00,Wednesday,2023-08-23
MCP2583003G,2,-1,9,4,4,4,5,6,,73E1ED82-8F5D-4EEE-AF67-B71CB0D6301A,0,1,"RAIN, SNOW, WET",7,11,2,9,0,19,0,40.0,0,2017.0,81,214,39.10023192,-77.21332384,16:16:00,Sunday,2023-09-17
MCP2941004R,1,-1,7,0,0,4,5,6,,A222329E-029D-4F33-9E22-0537DDF6F1E5,2,1,,7,11,2,12,13,6,4,35.0,0,2021.0,60,27,39.1563408,-77.16535238,12:14:00,Thursday,2023-07-27
MCP1563008V,2,-1,13,1,0,4,5,6,,D85308E7-DA73-4BEA-938F-8EF77E8BE8C6,2,1,,5,11,2,12,13,17,1,25.0,0,2012.0,66,31,38.97780333,-77.10072167,13:03:00,Wednesday,2023-10-18
MCP3330001Q,2,-1,9,-1,0,2,5,7,,3759D5BF-A1E3-49D6-AF0E-418A1474752B,0,1,,12,11,2,9,13,19,0,35.0,0,2019.0,118,197,39.146851,-77.05136783,18:55:00,Monday,2023-11-27
MCP2923009M,2,-1,9,4,4,4,1,6,,6BE7566E-5E4B-42C5-9A11-10C2719FA541,0,1,"N/A, RAIN, SNOW",7,11,1,9,0,16,1,35.0,0,2016.0,45,130,39.0531035,-77.05074633,07:12:00,Friday,2023-08-04
MCP29910094,2,-1,16,-1,4,4,5,6,,FE4B5BDA-517C-42D5-9FE0-398906358E25,2,1,"N/A, WET",7,11,1,11,13,16,2,35.0,0,2017.0,62,198,39.07691383,-77.00122983,09:30:00,Wednesday,2023-12-27
MCP3328002Y,2,-1,9,4,4,4,4,1,,D8C2A4E6-4738-4FC0-BCAC-2D6C660B8261,2,1,"RAIN, SNOW, WET",12,33,2,12,13,16,0,30.0,0,2011.0,44,57,39.04245833,-77.085385,16:34:00,Sunday,2023-11-26
MCP2765004X,2,-1,9,0,0,4,1,6,,4577D214-9F24-4A83-8778-4F44D808D5BA,0,1,,7,11,1,9,13,16,0,35.0,0,2017.0,139,402,39.09602167,-77.20115333,17:45:00,Thursday,2018-10-04
DD5651003Q,1,-1,16,0,0,4,5,6,,E262CDBA-8028-4B14-9E8D-EFF99948DF50,2,4,,7,11,0,12,9,8,2,35.0,0,2001.0,6,264,39.10341886,-77.15607765,08:07:00,Tuesday,2023-09-05
MCP2844006P,2,-1,7,0,0,4,1,6,,F6453C22-CB58-4EE3-BCC5-02FF2E3FF6D6,0,1,,7,33,1,12,13,8,1,30.0,0,2013.0,45,57,39.20026,-77.02541933,19:00:00,Thursday,2023-08-10
DD561500FM,2,-1,16,0,0,4,5,6,,55CB90F4-5C69-4D44-93CB-C06124297E44,2,1,,5,11,2,12,13,8,2,40.0,0,2016.0,79,38,39.0754091,-77.13764598,12:55:00,Sunday,2023-08-13
MCP3218004L,1,-1,4,4,4,1,5,6,,7DB658B0-4BAD-4E8D-8070-188730C14F49,2,2,"RAIN, SNOW, WET",12,11,2,12,13,8,2,35.0,0,2009.0,45,130,39.052006,-77.0751475,17:18:00,Sunday,2023-11-26
MCP9419004K,2,-1,9,0,0,4,5,6,,B1AFD07C-CDB1-4022-9BE4-4D66AE8C2B22,0,1,,7,11,2,9,13,14,0,40.0,0,2015.0,133,360,39.117035,-77.16878833,08:47:00,Wednesday,2023-08-09
MCP27960019,2,-1,7,0,0,4,1,6,,53F3D593-D4EA-4FDE-97E3-63A9FA73F171,2,1,,7,11,5,13,13,5,0,35.0,0,2002.0,27,196,39.09108167,-77.04631667,11:53:00,Friday,2015-01-02
MCP271700Y8,2,-1,7,0,0,4,5,6,,78A115B9-BA7A-4D22-AB6D-0A19AC3C80DF,2,1,,12,11,1,11,0,5,1,40.0,0,2020.0,45,304,38.99700833,-77.03159,14:50:00,Friday,2023-11-17
EJ7854002H,2,-1,16,-1,-1,7,1,7,,A6866EBC-AD06-442C-8025-71B8E8C5BE9A,2,1,,12,-1,6,15,-1,20,3,5.0,0,0.0,137,428,39.14509167,-77.22067,05:30:00,Friday,2018-11-30
MCP31920044,1,-1,9,0,0,4,5,6,,FB6CCDB6-146E-4074-8FE1-A66494E1CED6,0,1,,7,11,5,9,13,0,4,35.0,0,2004.0,45,304,39.05729238,-77.07785549,16:09:00,Friday,2023-08-18
EJ7895002V,1,-1,9,0,0,4,5,6,,4C24C516-753C-4336-9745-6A01C8BEE57C,2,2,,7,11,2,12,13,16,2,55.0,0,2005.0,19,412,39.13300913,-77.24464417,08:25:00,Wednesday,2022-10-12
MCP29320072,1,-1,3,0,0,1,-1,6,,18F47BAF-9ECF-455A-B029-104BEA3EE3EF,2,2,,12,11,5,12,0,10,2,35.0,0,2022.0,118,289,38.9959655,-77.002999,22:04:00,Monday,2023-11-13
EJ7858008K,2,-1,7,0,-1,4,1,-1,,60F36744-C6D0-4642-BF8C-0F2A11A924B0,2,1,,12,11,2,9,13,1,4,0.0,0,2009.0,90,402,39.11395257,-77.21657647,13:00:00,Monday,2023-12-04
MCP2895002Y,2,-1,13,-1,0,4,4,6,,745BF56E-DD02-4351-B52F-09245682B2E6,1,1,,7,32,3,2,13,0,1,25.0,0,2009.0,146,384,39.17490073,-77.25260184,16:30:00,Tuesday,2023-07-18
MCP9428001Q,2,-1,9,-1,-1,4,1,6,,E8EA05DC-E846-40E6-8607-60EAD7950B97,2,1,"BACKUP DUE TO PRIOR CRASH, N/A",9,32,2,12,15,16,2,55.0,0,2014.0,17,235,39.2058293,-77.27258563,08:35:00,Monday,2018-01-29
MCP3126004S,2,-1,16,0,0,4,4,6,,4070349F-C5DB-4065-AC91-639687505976,0,1,,7,11,1,12,13,8,2,40.0,0,2018.0,131,83,39.239128,-77.2797625,17:56:00,Wednesday,2023-09-13
MCP2667000Z,2,-1,7,0,-1,4,1,6,,F0AB986C-E2D8-45ED-B514-686116489D78,0,1,,7,11,5,2,13,1,4,0.0,0,1994.0,60,402,39.14348167,-77.21814,13:37:00,Sunday,2015-08-09
MCP2329002S,2,-1,12,0,0,4,1,-1,,20DBE02F-8B27-4856-8E9A-4B9F6B422C4D,0,1,,7,11,2,6,13,8,4,35.0,0,2002.0,24,31,39.15688667,-77.22442,13:45:00,Friday,2023-12-22
MCP31090088,1,-1,9,0,0,4,5,6,,75042F78-9353-452F-B697-BB0D3AD4F812,2,1,,12,11,5,12,14,16,0,35.0,0,2008.0,27,185,39.02024417,-77.0134495,11:35:00,Saturday,2023-08-26
MCP3361000Q,2,-1,9,7,0,7,1,7,,7BD6F6A5-3868-47B9-8DA9-132627C7D280,2,1,,12,-1,5,15,13,20,1,15.0,0,2002.0,133,81,39.0351045,-77.01842533,09:33:00,Sunday,2023-07-23
MCP1030000C,2,-1,11,3,4,4,1,6,,30C604C0-63D9-4959-A7D8-D7C3F045B025,0,1,"N/A, WET",7,11,2,12,13,8,2,55.0,0,2009.0,14,172,39.22273333,-77.25366167,10:05:00,Thursday,2015-01-22
MCP2680003B,2,-1,9,0,0,4,1,6,,D0581242-9FAF-46DB-A3CE-61C3F0D35C65,2,1,,7,11,2,9,0,16,1,35.0,0,2021.0,131,327,39.16175667,-77.20168833,10:46:00,Friday,2023-09-15
DD5610008N,2,-1,9,0,0,4,1,-1,,EC4ACD06-576F-422F-AC21-C284F9F6445C,2,1,,12,11,1,12,13,8,1,20.0,0,2012.0,45,286,39.059453,-77.12661433,14:14:00,Saturday,2023-12-30
MCP30800042,1,-1,9,0,4,1,5,7,,C17A8DF4-C05F-454E-9A3D-351A5F17BD46,2,1,"N/A, WET",12,-1,1,12,13,8,1,40.0,0,2017.0,139,28,39.16728345,-77.28061902,20:46:00,Tuesday,2023-12-05
MCP3039006G,2,-1,9,0,0,1,1,6,,46BF94CF-1091-46E0-B192-F87B966BD828,2,1,"N/A, RUTS, HOLES, BUMPS",7,11,5,9,14,16,2,30.0,0,2016.0,17,306,38.99858573,-77.00011595,21:00:00,Saturday,2023-09-02
MCP32590040,1,-1,9,0,0,1,1,6,,8CD79D8A-6BFE-460D-80B3-101CFC7B2DE2,0,3,,7,30,2,9,13,19,2,25.0,0,2013.0,131,83,39.011677,-77.133194,16:51:00,Friday,2023-12-08
