Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP28930013,1,-1,9,0,0,4,5,6,0,1,,7,12,5,10,11,17,2,40.0,0,2010.0,28,211,39.17865667,-77.23838,17:26:00,Monday,2015-03-23
MCP2664005K,2,-1,3,-1,5,4,1,8,2,1,,12,12,2,9,21,1,2,35.0,0,2021.0,86,277,39.13854173,-77.00662367,15:20:00,Monday,2022-02-28
MCP30930046,2,-1,7,0,0,4,-1,-1,2,1,,12,-1,6,15,11,6,3,45.0,0,2016.0,141,128,38.99132333,-77.09767,12:58:00,Sunday,2022-11-20
MCP2654000N,2,-1,9,4,7,4,5,6,2,1,"N/A, WET",12,14,1,12,11,17,1,35.0,0,2004.0,71,389,39.00504508,-77.02298999,18:40:00,Saturday,2015-06-27
MCP2298013P,2,-1,7,0,0,4,5,6,0,1,,7,12,2,1,11,17,1,35.0,0,2013.0,6,37,39.03929033,-76.9901675,15:12:00,Monday,2023-07-03
EJ78390038,1,-1,9,-1,0,3,1,6,0,2,,7,12,3,9,11,17,1,35.0,0,2006.0,111,235,39.12631,-77.18309,19:40:00,Tuesday,2018-08-28
MCP2674002M,1,-1,4,0,0,1,5,6,0,1,,7,12,1,12,11,9,2,40.0,0,2017.0,71,32,39.198377,-77.24501867,18:22:00,Thursday,2021-12-02
MCP31990032,1,-1,16,0,0,4,5,6,2,4,,7,12,1,11,0,6,4,35.0,0,2017.0,46,421,39.058345,-77.05526,14:14:00,Thursday,2021-09-09
MCP2620002B,2,-1,15,0,0,4,-1,6,2,1,,10,26,1,12,12,9,2,25.0,0,2014.0,114,3,39.24958,-77.066168,16:23:00,Saturday,2022-08-20
MCP1400000W,2,-1,15,4,7,2,1,6,2,1,"ANIMAL, N/A",7,10,2,1,11,9,4,40.0,0,2010.0,99,61,39.16967263,-77.0925343,01:50:00,Friday,2018-06-01
