Report Number,ACRS Report Type,Related Non-Motorist,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver Substance Abuse,Driver At Fault,Injury Severity,Circumstance,Driver Distracted By,Drivers License State,Vehicle Damage Extent,Vehicle First Impact Location,Vehicle Body Type,Vehicle Movement,Vehicle Going Dir,Speed Limit,Parked Vehicle,Vehicle Year,Vehicle Make,Vehicle Model,Latitude,Longitude,time,day of the week,date
MCP3019001X,2,-1,9,0,0,1,1,6,0,1,,7,12,2,9,11,17,4,30.0,0,2010.0,142,37,38.98798333,-77.07816167,21:15:00,Tuesday,2018-06-26
MCP2559003J,2,-1,9,1,7,4,-1,-1,0,1,"N/A, WET",7,12,2,9,11,17,0,40.0,0,2014.0,140,96,39.10225,-77.142295,08:42:00,Friday,2019-08-23
MCP3303000R,2,-1,16,0,0,4,1,6,0,1,"BACKUP DUE TO NON-RECURRING INCIDENT, N/A",7,12,5,10,11,7,4,35.0,0,2021.0,2,276,39.21502254,-77.2511562,17:35:00,Thursday,2021-10-07
MCP2934003L,2,-1,4,4,-1,1,1,6,0,1,"SLEET, HAIL, FREEZ. RAIN, WET",7,26,1,6,0,9,2,10.0,0,2014.0,100,347,39.02610667,-77.12646167,18:48:00,Sunday,2019-03-03
MCP9419002D,2,-1,16,4,7,4,5,6,2,1,"RAIN, SNOW, WET",5,12,1,12,0,6,4,40.0,0,2011.0,86,165,39.10751333,-77.18927167,10:37:00,Tuesday,2020-02-25
DD5662000J,2,-1,14,0,0,4,6,8,2,1,,12,-1,6,15,20,14,2,25.0,0,0.0,146,452,39.07014057,-77.13130218,18:38:00,Thursday,2023-09-21
DM8338001B,2,-1,9,4,7,4,4,-1,2,1,"RAIN, SNOW, WET",12,12,0,12,11,9,1,25.0,0,2017.0,4,47,38.98344,-77.00660667,18:53:00,Friday,2018-05-18
EJ77640007,2,-1,14,0,0,1,5,6,0,1,,7,12,5,13,8,8,2,40.0,0,2010.0,15,409,39.12260495,-77.17782319,22:15:00,Monday,2018-02-26
MCP9113005K,2,-1,15,7,-1,7,1,8,2,1,,12,-1,6,12,-1,21,4,0.0,0,0.0,146,452,39.06063667,-77.06504833,10:00:00,Thursday,2019-12-12
MCP2821002Q,2,-1,15,0,0,1,-1,1,2,1,,7,12,1,1,11,7,2,45.0,0,2016.0,7,37,39.14128833,-77.1522615,23:16:00,Thursday,2022-12-29
MCP2745001D,1,-1,4,-1,0,1,5,6,0,2,,7,12,1,12,11,9,2,45.0,0,2015.0,140,128,39.13834833,-77.15374,23:32:00,Saturday,2016-03-05
MCP2916002H,1,-1,16,0,0,4,5,6,2,1,,7,12,2,12,12,0,1,35.0,0,2001.0,23,421,39.05619667,-76.95374167,15:02:00,Saturday,2018-10-20
MCP2934005H,2,-1,7,0,-1,4,1,8,2,1,,12,-1,1,12,0,9,4,0.0,0,2019.0,112,105,38.99514275,-77.16458912,18:17:00,Sunday,2023-05-14
MCP23990059,1,-1,9,0,0,2,-1,6,2,2,,12,12,1,12,11,9,4,35.0,0,2017.0,147,236,39.20830167,-77.17805,19:00:00,Wednesday,2021-12-22
DM8423000M,1,-1,7,0,0,4,1,6,2,1,,7,12,1,1,11,9,4,25.0,0,2014.0,55,459,38.98503167,-77.01926667,16:15:00,Friday,2015-10-09
MCP2534004P,2,-1,7,0,0,1,1,8,2,1,,12,3,1,12,21,9,4,25.0,0,2017.0,28,437,39.023842,-77.02933883,01:30:00,Saturday,2023-05-06
MCP2934004Y,1,-1,6,0,0,4,5,6,0,2,,7,12,1,4,11,20,2,30.0,0,2017.0,149,252,39.023168,-77.149901,17:20:00,Thursday,2022-09-01
MCP31220046,2,-1,14,4,7,4,1,6,0,1,,7,12,2,10,11,9,1,55.0,0,2019.0,140,450,39.08572431,-77.17244456,07:20:00,Saturday,2021-05-29
MCP3026009W,2,-1,13,0,0,4,1,6,2,1,,7,30,2,12,0,2,4,30.0,0,2017.0,90,32,39.0192045,-77.2105695,16:33:00,Monday,2023-05-08
MCP9432003L,2,-1,9,4,7,1,1,6,0,1,"RAIN, SNOW, WET",7,3,2,9,11,17,1,40.0,0,2015.0,149,252,39.0062815,-77.0218075,20:20:00,Saturday,2023-05-20
MCP32750021,2,-1,9,0,0,0,1,6,2,1,,12,-1,5,12,13,9,1,40.0,0,2016.0,2,452,39.00608016,-77.03910547,19:25:00,Sunday,2023-10-15
MCP31300018,2,-1,7,0,-1,-1,1,6,0,1,,7,12,5,6,10,6,0,0.0,0,2005.0,11,421,39.102045,-77.07599833,14:00:00,Tuesday,2019-04-16
MCP2736004H,1,-1,3,0,0,4,1,6,2,2,,7,12,1,12,11,9,1,35.0,0,2013.0,76,37,39.02947783,-77.20149067,18:36:00,Sunday,2017-04-23
MCP15950013,1,-1,9,0,0,1,5,6,2,1,,12,12,2,12,12,9,1,40.0,0,2017.0,24,333,39.0519557,-77.07460309,22:42:00,Friday,2019-11-29
EJ78650051,2,-1,16,0,-1,1,1,6,0,1,,7,12,5,6,11,7,4,5.0,0,2016.0,124,405,39.117385,-77.20298,19:45:00,Thursday,2019-11-21
MCP29400069,1,1,7,0,0,4,3,6,2,1,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",12,12,2,12,11,9,2,35.0,0,1995.0,46,114,38.99493133,-77.12397233,07:58:00,Tuesday,2023-01-24
MCP229800JC,1,-1,9,0,0,4,5,6,2,2,,5,12,1,12,17,9,2,40.0,0,2012.0,28,182,39.27324333,-77.20446167,19:22:00,Wednesday,2018-05-23
DD5610005F,2,-1,16,4,7,4,1,6,2,1,,12,3,1,12,11,6,0,25.0,0,2013.0,79,34,39.05845333,-77.12593667,10:58:00,Sunday,2019-05-05
MCP2936000H,2,-1,9,-1,0,4,5,6,0,1,,7,12,2,9,11,17,2,40.0,0,2013.0,77,143,39.04725245,-77.11298347,16:35:00,Monday,2015-07-20
MCP913000GX,2,-1,16,0,0,4,1,6,2,1,,5,12,2,9,0,1,1,25.0,0,2019.0,140,241,39.00040022,-76.99086081,08:35:00,Tuesday,2023-10-03
MCP235800B9,2,-1,9,4,7,4,1,6,2,1,"N/A, WET",7,12,1,12,11,9,0,35.0,0,2012.0,125,307,39.00989,-77.19646,13:35:00,Sunday,2023-01-22
MCP3294001L,1,-1,13,0,0,4,1,6,1,3,,7,12,2,2,11,9,1,35.0,0,2008.0,23,326,39.15551667,-77.20757333,18:00:00,Friday,2023-05-26
MCP2987004M,1,-1,9,0,0,4,1,6,0,1,,7,12,2,9,11,20,4,45.0,0,2004.0,100,481,39.01488833,-77.00458833,08:29:00,Tuesday,2019-01-22
MCP31910024,2,-1,15,0,-1,4,1,6,2,1,,12,12,2,12,11,9,4,5.0,0,2013.0,28,171,39.09823833,-77.13653333,17:00:00,Thursday,2021-02-04
MCP32200043,1,-1,3,4,7,2,1,6,0,2,"N/A, WET",7,12,1,12,11,9,1,40.0,0,2013.0,39,453,39.16848483,-77.17554467,20:44:00,Tuesday,2023-08-15
MCP32910017,2,-1,2,0,0,1,0,6,0,1,,7,26,1,6,11,9,1,35.0,0,2011.0,46,114,38.99121167,-77.027435,01:30:00,Sunday,2022-11-20
MCP3003002J,1,-1,7,0,0,4,1,6,0,3,,7,12,5,7,11,17,1,10.0,0,2010.0,154,359,38.96171434,-77.13238844,12:15:00,Wednesday,2018-09-26
MCP2771000P,1,-1,15,1,-1,1,-1,6,2,3,,9,12,1,12,11,0,2,5.0,0,2002.0,100,311,39.12949639,-77.20251292,22:43:00,Thursday,2015-12-24
MCP2844005Y,2,-1,16,-1,0,1,4,6,0,1,,7,12,1,12,11,0,0,25.0,0,2019.0,140,241,39.05840333,-77.04806333,20:45:00,Monday,2022-09-12
MCP23610011,2,-1,6,0,0,1,4,6,2,1,,7,12,2,1,11,6,4,35.0,0,2013.0,11,313,39.15706356,-77.15807538,20:59:00,Sunday,2019-05-19
MCP2597001P,2,-1,9,4,7,4,5,6,2,1,,5,12,1,12,11,9,2,35.0,0,1994.0,140,128,39.01376833,-77.04219167,14:55:00,Friday,2015-10-02
MCP13780157,1,-1,9,0,0,4,1,6,2,2,,7,6,1,12,11,17,1,35.0,0,2015.0,46,114,39.04778389,-77.1902186,15:35:00,Tuesday,2023-08-08
MCP2968003M,1,-1,4,0,0,4,5,-1,0,1,,7,12,1,12,11,9,1,40.0,0,1998.0,45,421,39.10087667,-77.19149333,13:57:00,Wednesday,2021-03-10
MCP1252001K,2,-1,13,0,0,1,1,6,0,1,,7,12,5,1,18,9,1,30.0,0,2009.0,37,434,39.18242142,-77.2631128,17:34:00,Friday,2022-12-02
DM8462000D,2,-1,9,0,0,-1,1,6,2,1,,7,12,2,12,12,-1,2,35.0,0,2016.0,141,421,38.980487,-76.989504,08:05:00,Saturday,2018-04-14
MCP29950012,2,-1,16,0,0,1,5,8,2,1,,12,-1,2,12,11,0,2,35.0,0,0.0,146,452,39.05625333,-77.08287,19:25:00,Thursday,2016-11-03
MCP2703002W,2,-1,9,0,0,4,1,-1,0,1,,7,12,5,9,11,20,2,35.0,0,2017.0,45,421,39.01326941,-77.01670807,17:30:00,Friday,2023-07-21
MCP0899003S,2,-1,14,1,0,4,2,6,0,1,,7,12,5,0,18,9,1,30.0,0,2013.0,35,81,38.99039667,-77.10307333,15:11:00,Tuesday,2019-03-26
MCP1119000Z,2,-1,7,0,0,4,1,6,2,1,,7,12,5,8,13,1,4,25.0,0,2009.0,15,244,39.034015,-77.07320167,09:28:00,Monday,2015-05-18
MCP115100C0,2,-1,12,0,0,4,1,6,2,1,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",5,12,1,6,0,2,0,40.0,0,2016.0,124,135,39.23859017,-77.40410333,07:55:00,Monday,2020-03-16
MCP2347004H,2,-1,4,0,0,4,5,6,0,1,,7,12,1,12,11,18,1,50.0,0,2013.0,46,53,39.09542967,-76.93777867,14:11:00,Wednesday,2023-11-15
MCP27450021,1,-1,1,0,0,1,0,-1,2,1,,7,12,1,12,11,6,0,35.0,0,2016.0,20,4,39.18304667,-77.182295,11:25:00,Saturday,2017-11-25
MCP229800JJ,2,-1,9,1,0,4,1,6,0,1,,7,12,5,9,11,17,1,45.0,0,2010.0,140,320,39.21145167,-77.24803333,16:54:00,Wednesday,2018-05-30
DD5529001K,2,-1,13,0,0,4,1,6,2,1,,7,12,1,1,0,9,4,25.0,0,2008.0,1,400,39.07776167,-77.14118,08:27:00,Monday,2016-08-22
MCP3372000K,2,-1,14,-1,-1,4,1,6,2,1,,5,12,2,13,12,9,1,25.0,0,2021.0,15,121,39.08841027,-77.07296002,17:54:00,Tuesday,2023-05-09
MCP1522001L,1,-1,9,0,0,4,1,-1,0,3,,7,12,2,9,11,7,2,40.0,0,2014.0,140,461,39.25948115,-77.2025156,12:32:00,Saturday,2017-09-23
MCP29910014,1,-1,4,0,0,4,1,6,0,1,,7,12,1,1,11,9,4,45.0,0,2016.0,28,204,39.06650833,-77.02240333,09:03:00,Friday,2016-09-23
DD5624002Z,2,-1,9,0,0,4,5,8,2,1,,12,26,6,12,11,9,0,35.0,0,1990.0,140,370,39.07855312,-77.13135137,18:10:00,Sunday,2019-08-11
DM8465001V,2,-1,9,-1,-1,-1,1,-1,2,1,,7,12,5,12,11,0,2,15.0,0,2001.0,84,443,38.98771333,-76.98803667,17:35:00,Tuesday,2020-03-03
MCP31610036,2,-1,14,0,0,1,1,6,0,1,,7,12,2,10,11,9,1,35.0,0,2007.0,45,421,38.99694667,-77.09475833,21:20:00,Thursday,2021-10-07
MCP2875001Y,1,-1,3,4,7,4,1,6,0,4,"RAIN, SNOW, WET",7,12,0,12,11,9,4,45.0,0,2011.0,148,252,39.15414879,-77.2545746,16:01:00,Wednesday,2016-05-11
DD5593001T,2,-1,14,0,4,4,1,6,0,1,"ICY OR SNOW-COVERED, N/A",7,12,5,2,0,9,4,30.0,0,2009.0,99,463,39.08319167,-77.15387,15:23:00,Wednesday,2016-01-27
MCP2934004Y,1,-1,6,0,0,4,5,6,0,1,,7,12,1,12,0,20,2,30.0,0,2016.0,125,307,39.023168,-77.149901,17:20:00,Thursday,2022-09-01
MCP3002000G,2,-1,16,0,0,1,0,6,0,1,,7,3,1,13,11,9,1,45.0,0,1997.0,140,69,38.973205,-77.122055,05:23:00,Monday,2016-03-21
MCP31630066,2,-1,9,4,7,1,5,-1,0,1,"RAIN, SNOW, WET",7,12,2,9,11,20,1,35.0,0,2022.0,90,403,39.033629,-77.12539217,18:25:00,Friday,2023-10-20
EJ7876002B,2,-1,14,0,0,1,1,6,0,1,,7,12,5,1,11,9,2,35.0,0,2008.0,2,37,39.14893102,-77.20775337,21:15:00,Friday,2020-05-01
MCP3150000K,2,-1,9,0,0,4,5,-1,0,1,,7,3,2,9,11,17,2,25.0,0,2012.0,15,409,39.05883667,-76.96745667,16:30:00,Friday,2018-09-14
MCP22520013,2,-1,14,0,0,4,2,6,2,1,,5,12,5,10,11,9,1,35.0,0,2014.0,15,383,39.11047,-77.15423,13:14:00,Saturday,2015-12-05
MCP2837004S,2,-1,7,-1,-1,4,-1,6,2,1,,12,12,5,4,21,12,-1,0.0,1,2018.0,28,458,39.07460667,-77.13766333,12:59:00,Thursday,2022-11-17
MCP2921004K,1,-1,14,0,0,1,5,-1,0,1,,7,12,5,11,11,6,2,35.0,0,2017.0,46,114,39.19358667,-77.27039167,19:48:00,Monday,2023-01-09
MCP28400011,2,-1,9,-1,-1,4,1,-1,2,1,,5,12,1,12,0,9,2,35.0,0,2008.0,18,37,39.0506,-76.96069,18:42:00,Monday,2017-03-13
MCP27900017,2,-1,11,0,0,1,7,8,2,1,,12,-1,1,12,11,9,0,25.0,0,2004.0,4,32,39.17204333,-77.24334333,00:29:00,Thursday,2017-03-23
MCP2894000X,2,-1,16,0,0,4,4,6,0,1,,7,12,1,2,11,9,2,35.0,0,2010.0,28,421,39.0339,-77.074995,11:01:00,Tuesday,2015-05-19
MCP33470019,1,-1,9,1,0,4,5,6,2,1,,5,12,5,12,10,9,4,35.0,0,2018.0,64,301,38.98937625,-77.1497733,17:13:00,Tuesday,2023-10-17
MCP3190004Z,2,-1,9,0,0,4,1,6,0,1,,7,12,2,9,11,20,1,30.0,0,1996.0,140,407,39.02659,-77.04666167,07:50:00,Thursday,2023-04-20
MCP2436001W,2,-1,9,0,-1,4,1,6,2,1,,12,12,5,9,11,1,3,0.0,0,2010.0,140,96,38.99922333,-76.99543167,12:42:00,Sunday,2016-07-31
DD5610007C,2,-1,7,0,0,4,2,-1,2,1,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",12,12,1,12,11,2,4,30.0,0,2003.0,75,37,39.07689133,-77.13983517,08:09:00,Wednesday,2022-07-27
MCP2047003W,2,-1,9,0,0,4,1,6,0,1,,7,12,2,9,15,17,1,40.0,0,2010.0,28,182,39.11878167,-77.17084667,14:04:00,Sunday,2021-01-24
MCP2656006P,1,-1,16,0,0,4,5,-1,2,2,,5,12,1,13,21,18,2,35.0,0,2006.0,24,467,39.16932067,-77.282877,16:00:00,Wednesday,2023-03-15
MCP2995006D,1,-1,14,0,0,4,1,6,2,1,,5,12,2,9,11,9,2,45.0,0,2018.0,140,128,39.076955,-77.08026,15:55:00,Friday,2020-05-15
DD5601001Q,2,-1,9,0,0,4,5,-1,0,1,,12,12,2,9,11,17,1,35.0,0,1998.0,46,114,39.0629321,-77.17655182,15:10:00,Thursday,2016-06-02
DD56240011,1,-1,2,0,0,4,5,6,2,1,,5,12,5,8,11,7,0,25.0,0,2018.0,147,37,39.06084133,-77.12559383,18:49:00,Saturday,2018-08-04
EJ78700060,2,-1,16,1,0,4,1,6,2,1,,5,12,1,12,11,6,0,30.0,0,2008.0,124,245,39.14449462,-77.20238225,13:10:00,Thursday,2023-01-26
MCP1389000N,2,-1,4,0,0,4,-1,-1,2,1,,7,12,1,1,11,9,2,25.0,0,2010.0,28,295,39.15584833,-77.199085,18:18:00,Tuesday,2016-04-26
MCP2541000D,1,-1,10,0,0,4,1,6,2,3,,5,12,5,8,0,2,4,35.0,0,2000.0,140,128,39.03185333,-77.02248,10:38:00,Wednesday,2016-01-13
MCP2728002H,2,-1,9,0,0,4,1,6,0,1,,7,12,2,2,11,17,1,40.0,0,2004.0,58,213,39.01289167,-76.978485,17:39:00,Saturday,2016-06-04
MCP3238001C,2,-1,15,0,0,4,1,6,2,1,,7,12,3,10,16,6,0,30.0,0,2015.0,29,81,39.08529766,-76.9392554,08:44:00,Wednesday,2021-11-10
MCP25340035,2,-1,9,0,0,1,5,6,0,1,,7,12,2,9,0,20,0,40.0,0,2016.0,140,241,39.035741,-77.02646817,21:30:00,Saturday,2020-08-08
MCP3030000Z,1,-1,16,4,7,1,5,6,2,2,"SLEET, HAIL, FREEZ. RAIN, WET",12,16,1,12,11,9,0,25.0,0,2009.0,55,52,38.99259833,-77.09705667,17:02:00,Tuesday,2017-11-07
MCP3039001R,1,-1,9,0,0,0,1,6,0,2,,7,12,0,9,11,9,1,55.0,0,2011.0,46,53,39.216895,-77.27775667,19:00:00,Thursday,2017-11-30
MCP3113005L,2,-1,9,0,0,4,5,-1,0,1,"N/A, VISION OBSTRUCTION (INCL. BLINDED BY SUN)",7,12,2,9,11,20,2,40.0,0,2020.0,46,114,39.07307692,-77.00285176,14:00:00,Thursday,2023-11-16
MCP2159001H,2,-1,7,1,0,1,-1,8,2,1,,12,12,5,9,11,1,1,25.0,0,2020.0,93,125,39.18119067,-77.2673105,19:33:00,Saturday,2023-11-04
MCP2069000H,2,-1,9,1,0,4,5,8,2,1,,7,12,5,12,0,17,1,30.0,0,2020.0,73,153,39.18622453,-77.27369308,18:04:00,Thursday,2022-05-26
MCP29680037,1,-1,9,0,0,4,5,-1,0,1,,7,12,1,9,11,20,0,40.0,0,2017.0,45,37,39.09263333,-77.194925,08:18:00,Tuesday,2019-07-30
EJ78460014,2,-1,14,0,0,1,1,6,0,1,,7,12,1,13,11,9,1,35.0,0,2010.0,140,128,39.130635,-77.18756333,18:29:00,Monday,2016-01-11
MCP9442001B,1,2,7,0,-1,4,-1,6,2,1,,5,12,3,9,11,1,4,15.0,0,2011.0,28,182,39.193585,-77.19216667,07:43:00,Saturday,2017-11-11
MCP2031001Q,1,-1,8,4,7,4,1,6,0,3,"RAIN, SNOW, WET",7,12,2,6,21,6,2,35.0,0,2006.0,45,467,39.17747467,-77.271244,14:58:00,Thursday,2018-12-20
MCP2789000P,1,-1,9,-1,0,4,5,-1,2,3,,7,12,2,12,11,17,0,25.0,0,2009.0,140,96,38.99504167,-77.02445167,16:00:00,Wednesday,2015-02-25
MCP22310022,2,-1,12,0,0,4,1,6,0,1,,12,12,1,6,11,9,1,25.0,0,2009.0,15,244,39.04513602,-77.10345626,12:01:00,Monday,2016-06-13
MCP3031004X,2,-1,4,0,0,4,5,6,2,1,,5,12,1,6,11,6,4,40.0,0,2022.0,40,300,39.12038433,-77.034197,18:00:00,Wednesday,2023-03-29
MCP1453002C,2,-1,4,1,0,4,5,6,0,1,,7,12,1,12,6,9,2,30.0,0,2006.0,16,44,39.23748,-77.277975,13:02:00,Wednesday,2015-12-09
MCP3086009N,2,-1,9,1,0,4,1,6,2,1,,7,12,5,12,2,9,2,35.0,0,2011.0,81,421,39.13389333,-77.14681333,13:55:00,Monday,2023-10-30
MCP26110014,2,-1,9,0,0,4,1,6,0,1,,7,12,3,9,11,17,4,30.0,0,2012.0,71,421,39.0655728,-76.94448709,17:00:00,Tuesday,2016-03-01
MCP93790048,2,-1,15,0,0,4,1,6,2,1,,9,12,1,12,11,9,2,35.0,0,2020.0,141,241,39.1198,-77.15692167,09:30:00,Tuesday,2022-11-08
MCP2723002W,1,-1,9,0,0,4,1,-1,2,1,,5,12,2,12,10,9,1,40.0,0,2017.0,69,156,39.13390667,-77.06987667,12:20:00,Tuesday,2017-10-10
MCP27230054,2,-1,15,4,7,1,1,6,2,1,"N/A, WET",12,31,1,7,11,9,4,40.0,0,2002.0,6,17,39.075635,-77.00349333,05:45:00,Sunday,2020-12-13
MCP2969000Q,1,-1,9,0,0,4,1,6,0,2,,7,12,2,9,12,17,2,45.0,0,2014.0,141,450,39.05057167,-77.07519667,08:35:00,Saturday,2015-07-18
MCP2116003B,1,-1,16,1,0,4,1,6,0,1,,7,12,1,12,11,9,0,40.0,0,2007.0,85,421,39.10630667,-77.233205,15:56:00,Thursday,2016-01-07
MCP1580009B,1,-1,3,1,7,4,1,0,2,1,,12,12,0,12,11,11,4,35.0,0,1999.0,46,115,39.20817833,-77.18074333,17:51:00,Monday,2018-09-24
MCP2974000F,2,-1,9,0,0,4,5,6,0,1,,7,12,3,9,16,17,2,30.0,0,2012.0,134,82,39.09840257,-76.9443047,12:43:00,Friday,2015-06-12
MCP2898001B,1,-1,9,4,7,4,1,-1,0,1,"RAIN, SNOW, WET",7,12,5,9,11,17,1,40.0,0,2004.0,147,37,39.18437,-77.263545,15:21:00,Friday,2016-05-06
EJ78510092,2,-1,14,0,0,4,4,6,0,1,,7,12,1,12,11,9,2,45.0,0,2000.0,46,53,39.1175818,-77.2169795,14:30:00,Friday,2022-12-30
MCP3113003G,1,-1,14,0,0,4,1,-1,0,1,,7,12,2,4,21,9,2,50.0,0,2011.0,140,373,39.06787,-76.95976167,13:00:00,Wednesday,2021-12-01
DD5663000B,1,2,7,0,0,4,2,6,2,1,,5,12,2,12,11,9,2,35.0,0,2023.0,131,288,39.0680312,-77.1678512,16:41:00,Thursday,2023-10-26
MCP28710016,1,-1,9,6,4,1,5,6,0,1,"ICY OR SNOW-COVERED, RAIN, SNOW, SLEET, HAIL, FREEZ. RAIN, WET",7,12,2,-1,11,20,2,35.0,0,2015.0,77,37,39.041835,-77.11032167,21:57:00,Saturday,2015-02-14
MCP29810044,1,-1,15,0,0,1,5,6,2,2,,12,16,1,1,11,6,4,30.0,0,2008.0,100,61,39.05791531,-77.05013146,23:40:00,Wednesday,2022-11-30
MCP3196002L,2,-1,16,-1,-1,4,5,-1,1,1,,7,12,1,13,11,21,2,45.0,0,2016.0,28,182,39.18143833,-77.26189233,15:29:00,Sunday,2021-11-07
MCP271700F4,1,-1,16,0,0,5,4,6,0,1,,7,12,2,12,16,9,1,35.0,0,2006.0,61,365,39.01161167,-77.21781483,16:00:00,Monday,2017-12-04
EJ78780014,1,-1,9,0,0,4,1,-1,0,2,"N/A, ROAD UNDER CONSTRUCTION/MAINTENANCE",7,12,2,9,11,17,1,40.0,0,2002.0,125,37,39.14014854,-77.22178582,12:05:00,Wednesday,2020-02-19
MCP2728006Q,1,-1,15,0,7,1,1,8,2,2,,12,12,0,6,11,5,4,30.0,0,2017.0,16,140,39.01122167,-76.978475,23:03:00,Friday,2020-01-10
MCP23940045,2,-1,16,4,7,1,0,6,0,1,"RAIN, SNOW, WET",7,12,1,12,11,9,4,40.0,0,2018.0,100,37,39.12657667,-77.17365833,05:37:00,Monday,2020-10-26
MCP30940029,1,2,7,-1,-1,1,-1,6,0,2,,7,12,5,4,11,20,0,0.0,0,2013.0,39,453,39.17233433,-77.20610483,18:46:00,Wednesday,2022-11-23
MCP1119002B,2,-1,9,0,0,4,1,6,0,1,,7,15,2,9,11,17,2,45.0,0,2010.0,46,114,39.06863333,-77.07557667,15:20:00,Tuesday,2016-04-05
MCP1568000J,1,-1,6,0,0,1,-1,6,2,2,,12,12,1,12,0,9,1,35.0,0,2011.0,11,409,39.204305,-77.44463,20:55:00,Monday,2016-12-05
EJ78330027,2,-1,16,0,0,4,5,6,2,1,,5,12,1,12,11,6,0,25.0,0,2009.0,6,473,39.150715,-77.20395167,17:11:00,Thursday,2016-08-25
EJ7856008W,2,-1,4,0,0,4,5,-1,0,1,,12,12,1,12,11,9,1,35.0,0,2013.0,28,421,39.1461455,-77.2281547,12:59:00,Friday,2020-11-20
MCP30600046,1,-1,9,0,0,4,5,6,0,3,,7,12,2,9,11,20,2,0.0,0,2009.0,46,202,39.03651264,-77.05050181,08:27:00,Wednesday,2023-07-12
DD5527001W,1,-1,7,0,0,4,5,6,0,1,,7,1,1,12,11,9,2,40.0,0,2012.0,90,34,39.07427552,-77.13561625,12:09:00,Sunday,2018-12-02
MCP2770000Q,2,-1,9,0,0,4,5,6,0,1,,7,12,5,9,11,17,0,40.0,0,2009.0,141,37,39.118545,-77.254595,18:57:00,Tuesday,2015-08-25
MCP3048000Q,1,-1,9,0,0,4,1,6,2,1,,12,12,2,12,11,17,0,30.0,0,2015.0,46,53,39.05345141,-77.10785508,16:30:00,Monday,2017-05-08
MCP2726000X,1,-1,9,0,0,4,1,6,2,1,"DEBRIS OR OBSTRUCTION, N/A",7,12,1,12,11,9,0,30.0,0,2013.0,39,416,39.08553833,-77.16734333,08:25:00,Monday,2015-12-14
MCP2941004W,1,-1,13,0,0,4,5,6,2,2,,7,12,1,1,11,7,1,35.0,0,2019.0,90,453,39.1695,-77.19073833,10:20:00,Saturday,2023-09-16
DD5603008H,2,-1,16,4,7,4,1,6,2,1,,5,12,2,10,11,7,1,35.0,0,2004.0,141,467,39.23852167,-77.27500667,14:10:00,Monday,2020-08-24
MCP31910047,2,-1,9,4,7,4,1,8,1,1,"RAIN, SNOW, WET",12,-1,3,9,12,17,1,30.0,0,2017.0,28,5,39.10737113,-77.25208052,15:45:00,Friday,2023-10-20
MCP2800005S,2,-1,4,0,0,1,5,0,2,1,,5,12,2,4,11,6,4,30.0,0,2015.0,90,368,39.045085,-77.12019167,02:20:00,Wednesday,2022-12-21
MCP2859005K,2,-1,9,0,0,4,1,6,2,1,,7,12,1,12,11,17,1,35.0,0,2002.0,45,141,39.12074833,-77.22511667,12:00:00,Thursday,2018-08-23
MCP33200019,2,-1,16,-1,-1,4,1,6,0,1,,7,3,2,6,0,17,1,10.0,0,2013.0,84,453,38.991673,-77.03166733,15:45:00,Thursday,2022-12-29
MCP2801002N,1,2,16,4,7,1,-1,8,2,1,"N/A, RAIN, SNOW",12,-1,6,12,-1,21,1,40.0,0,0.0,146,452,39.01597923,-76.97748942,23:50:00,Tuesday,2020-02-04
DD5603001W,1,-1,9,0,0,1,5,6,0,3,,7,12,2,9,11,20,1,30.0,0,2004.0,100,292,39.08040306,-77.14400589,20:36:00,Friday,2015-09-25
HA23770004,1,-1,9,0,7,4,1,-1,0,3,"N/A, WORN, TRAVEL-POLISHED SURFACE",7,12,5,9,11,17,0,25.0,0,2004.0,155,425,39.01090594,-77.02646613,14:45:00,Saturday,2015-03-07
MCP9130005S,2,-1,9,0,0,4,5,6,0,1,,7,12,2,8,0,17,1,35.0,0,2017.0,140,338,39.01370167,-76.97823,12:39:00,Sunday,2018-07-29
MCP32700027,1,-1,9,0,0,1,5,6,2,1,,12,12,1,12,11,0,2,35.0,0,2011.0,24,101,39.01979019,-77.01322597,22:06:00,Monday,2023-10-23
MCP27450013,2,-1,15,1,-1,1,5,6,2,1,"N/A, WET",7,26,1,12,11,6,0,35.0,0,1999.0,77,179,39.14256333,-77.22057167,21:03:00,Monday,2015-08-10
DD5624004C,2,-1,9,0,0,4,8,6,2,1,,7,12,5,12,21,17,3,30.0,0,2017.0,28,458,39.08162777,-77.1454522,19:06:00,Sunday,2020-08-30
MCP3133002X,1,-1,9,1,0,4,5,6,2,1,,7,12,2,12,11,18,2,35.0,0,2017.0,140,128,39.05620667,-77.08285167,09:43:00,Tuesday,2021-11-30
MCP2436002X,2,-1,14,0,0,4,-1,-1,0,1,,7,12,5,1,11,9,4,40.0,0,2008.0,100,61,38.993935,-76.99236333,09:50:00,Tuesday,2017-05-02
EJ78710020,2,-1,15,0,0,4,1,-1,0,1,"ANIMAL, N/A",7,12,2,12,13,9,1,40.0,0,2017.0,28,185,39.27790833,-77.31444167,19:04:00,Tuesday,2019-07-30
